X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
7.66160000000002,51.4332000000001,231,Nordrhein-Westfalen,Germany,2022/04/30 11:21:00+00,51.4332,7.6616,4947757,0,24745,0,,,"Nordrhein-Westfalen, Germany"
7.30900000000003,50.1183,232,Rheinland-Pfalz,Germany,2022/04/30 11:21:00+00,50.1183,7.309,1076165,0,5516,0,,,"Rheinland-Pfalz, Germany"
7.02300000000002,49.3964,233,Saarland,Germany,2022/04/30 11:21:00+00,49.3964,7.023,300073,0,1638,0,,,"Saarland, Germany"
13.2017000000001,51.1045,234,Sachsen,Germany,2022/04/30 11:21:00+00,51.1045,13.2017,1465979,0,15285,0,,,"Sachsen, Germany"
11.6923,51.9503,235,Sachsen-Anhalt,Germany,2022/04/30 11:21:00+00,51.9503,11.6923,691122,0,5253,0,,,"Sachsen-Anhalt, Germany"
9.69610000000006,54.2194000000001,236,Schleswig-Holstein,Germany,2022/04/30 11:21:00+00,54.2194,9.6961,655724,0,2444,0,,,"Schleswig-Holstein, Germany"
10.8453000000001,51.0110000000001,237,Thuringen,Germany,2022/04/30 11:21:00+00,51.011,10.8453,691033,0,7105,0,,,"Thuringen, Germany"
,,238,Unknown,Germany,2022/04/30 11:21:00+00,,,0,0,0,0,,,"Unknown, Germany"
-1.02319999999997,7.94650000000007,239,,Ghana,2022/04/30 11:21:00+00,7.9465,-1.0232,161173,0,1445,0,,,Ghana
21.8243000000001,39.0742000000001,240,,Greece,2022/04/30 11:21:00+00,39.0742,21.8243,3317425,0,29114,0,,,Greece
-61.679,12.1165,241,,Grenada,2022/04/30 11:21:00+00,12.1165,-61.679,14629,0,220,0,,,Grenada
-90.2308,15.7835000000001,242,,Guatemala,2022/04/30 11:21:00+00,15.7835,-90.2308,845868,0,17566,0,,,Guatemala
-9.69659999999993,9.94560000000007,243,,Guinea,2022/04/30 11:21:00+00,9.9456,-9.6966,36549,0,442,0,,,Guinea
-15.1804,11.8037,244,,Guinea-Bissau,2022/04/30 11:21:00+00,11.8037,-15.1804,8202,0,171,0,,,Guinea-Bissau
-58.93018,4.86041600000004,245,,Guyana,2022/04/30 11:21:00+00,4.860416,-58.93018,63457,0,1228,0,,,Guyana
-72.2852,18.9712000000001,246,,Haiti,2022/04/30 11:21:00+00,18.9712,-72.2852,30690,0,835,0,,,Haiti
12.4534,41.9029,247,,Holy See,2022/04/30 11:21:00+00,41.9029,12.4534,29,0,0,0,,,Holy See
